"avgLF","xval","msg_reg","commodity","x.interval"
0.625815,0,"RUS",NA,NA
0.625815,0.129892821007009,"RUS","hydro_c1",0.129892821007009
0.553296666666667,1.68860667309112,"RUS","hydro_c1",1.55871385208411
0.492982,2.33807077812616,"RUS","hydro_c1",0.649464105035045
0.44934,2.59785642014018,"RUS","hydro_c1",0.259785642014018
0.73551,2.8576420621542,"RUS","hydro_c2",0.259785642014018
0.6213,2.98753488316121,"RUS","hydro_c2",0.129892821007009
0.55731,3.76689180920326,"RUS","hydro_c2",0.779356926042055
0.48332875,4.80603437725934,"RUS","hydro_c2",1.03914256805607
0.511853333333333,5.19571284028036,"RUS","hydro_c3",0.389678463021028
0.50632,6.75442669236447,"RUS","hydro_c3",1.55871385208411
0.498006666666667,7.1441051553855,"RUS","hydro_c3",0.389678463021028
0.69389,9.22239029149765,"RUS","hydro_c4",2.07828513611214
0.557722,9.87185439653269,"RUS","hydro_c4",0.649464105035047
0.48983,10.0017472175397,"RUS","hydro_c4",0.129892821007008
0.43864,10.1316400385467,"RUS","hydro_c4",0.12989282100701
0.693343333333333,10.5213185015677,"RUS","hydro_c5",0.389678463021028
0.629066666666667,10.9109969645888,"RUS","hydro_c5",0.389678463021026
0.52922,11.0408897855958,"RUS","hydro_c5",0.12989282100701
0.469333333333333,11.4305682486168,"RUS","hydro_c5",0.389678463021028
0.741,11.5604610696238,"RUS","hydro_c6",0.129892821007008
0.65923,11.8202467116378,"RUS","hydro_c6",0.25978564201402
0.55244,11.9501395326448,"RUS","hydro_c6",0.129892821007008
0.467633333333333,12.3398179956659,"RUS","hydro_c6",0.389678463021028
0.78363,12.4697108166729,"RUS","hydro_c7",0.129892821007008
0.62601,12.5996036376799,"RUS","hydro_c7",0.12989282100701
0.50065,12.7294964586869,"RUS","hydro_c7",0.12989282100701
0.64556,12.9892821007009,"RUS","hydro_c8",0.259785642014018
